name,description
"MI D2 ARPSC Level 1 Completion","Required. Evaluation: Documentation."
"IS-200 - ICS for Single Resource","Required. Evaluation: Documentation."
"IS-800 - National Response Framework","Required. Evaluation: Documentation."
"IS-706 - NIMS Intrastate Mutual Aid - An Introduction","Advised. Evaluation: Documentation."
"Fermi Radiological Emergency Preparedness 101","Advised. Evaluation: Documentation."
"ARRL Intermediate EmComm Course","Advised. Evaluation: Documentation."
"SKYWARN Spotter Basic Training (Biennially)","Required. Evaluation: Documentation."
"State DTRS 800MHz Radio Operation","Advised. Evaluation: Documentation."
"Net Participation (Twice Yearly minimum)","Required. Evaluation: Observation."
"Public Service Event Participation","Required. Evaluation: Observation."
"Simulated Emergency Test or Exercise Participation (Minimum One Annually)","Required. Evaluation: Observation."
"Maintain and submit accurate ICS-214 Personal Activity Log and Communications Log from a planned event deployment","Required. Evaluation: Documentation."
"Proficient at and Serve as Net Control","Advised. Evaluation: Observation."
"Successfully plan, coordinate, and lead a scheduled public service event","Advised. Evaluation: Interview/Observation."
"Participate in FERMEX drill event (biennially)","Advised. Evaluation: Documentation."
"Hold a General Class License or higher","Advised. Evaluation: Documentation."
"Demonstrate proper composition and sending formal messages with WinLink using ICS templates (ICS-213, ICS-213RR)","Required. Evaluation: Observation."
"Compose and send a WinLink message to a standard email address and to a callsign through an RMS (HF, VHF, or UHF) or via telnet","Required. Evaluation: Observation."
"Operate unit specific Digital VHF or Digital HF station","Required. Evaluation: Observation."
"Operate unit specific Portable VHF/UHF or HF station","Required. Evaluation: Observation."
"Build a simple dipole antenna","Optional. Evaluation: Observation."
"Build Powerpole adapter cable","Required. Evaluation: Interview/Observation."
"Install PL259 connector to coax","Required. Evaluation: Interview/Observation."
"Maintain a short-term (24hr) and long-term (72hr) Deployment-Kit inventory listing and organization sufficient to deploy within 30-60 minutes","Required. Evaluation: Interview/Observation."
"Describe the deployment process for an incident","Required. Evaluation: Interview/Observation."
